Item Name,Design Name,Code,New Arrivals,Best Sellers,Promo Items,Rate,Status,Usage unit,Unit,Size,Sub Collection,Collection,Thickness
DA 2081N - EDL HPL 4'x8' | TITAN I,DA 2081N,TITAN I,FALSE,FALSE,FALSE,730000,Active,sht,Sheet,1220 x 2440 mm,Abstract,Pattern,0.8mm
DA 2082N - EDL HPL 4'x8' | TITAN II,DA 2082N,TITAN II,FALSE,FALSE,FALSE,730000,Active,sht,Sheet,1220 x 2440 mm,Abstract,Pattern,0.8mm
DA 2083N - EDL HPL 4'x8' | TITAN III,DA 2083N,TITAN III,FALSE,FALSE,FALSE,730000,Active,sht,Sheet,1220 x 2440 mm,Abstract,Pattern,0.8mm
DA 2084N - EDL HPL 4'x8' | TITAN IV,DA 2084N,TITAN IV,FALSE,FALSE,FALSE,730000,Active,sht,Sheet,1220 x 2440 mm,Abstract,Pattern,0.8mm
DA 2480C - EDL HPL 4'x8' | CRYSTAL GREY,DA 2480C,CRYSTAL GREY,FALSE,FALSE,FALSE,730000,Active,sht,Sheet,1220 x 2440 mm,Abstract,Pattern,0.8mm
DA 7180C - EDL HPL 4'x8' | CRYSTAL BLACK,DA 7180C,CRYSTAL BLACK,FALSE,FALSE,FALSE,730000,Active,sht,Sheet,1220 x 2440 mm,Abstract,Pattern,0.8mm
DA 9280C - EDL HPL 4'x8' | CRYSTAL SATIN,DA 9280C,CRYSTAL SATIN,FALSE,FALSE,FALSE,730000,Active,sht,Sheet,1220 x 2440 mm,Abstract,Pattern,0.8mm
DC 3342LUN - EDL HPL 1300x3050 | CINDER BASALT,DC 3342LUN,CINDER BASALT,FALSE,FALSE,FALSE,1100000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DC 4545LUN - EDL HPL 1300x3050 | SHIRO,DC 4545LUN,SHIRO,FALSE,FALSE,FALSE,1100000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DCW 3142WJ - EDL HPL 4'x8' | TORINO PINE,DCW 3142WJ,TORINO PINE,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio,Wood,0.9mm
DCW 4906WC - EDL HPL 4'x8' | EASTERN ALDER,DCW 4906WC,EASTERN ALDER,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio,Wood,0.9mm
DCW 4907VC - EDL HPL 4'x8' | WESTERN ALDER,DCW 4907VC,WESTERN ALDER,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio,Wood,0.8mm
DCW 5471VC - EDL HPL 4'x8' | SILK WOOD,DCW 5471VC,SILK WOOD,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio,Wood,0.8mm
DCW 6826VC - EDL HPL 4'x8' | SYCAMORE,DCW 6826VC,SYCAMORE,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio,Wood,0.8mm
DCW 7404VC - EDL HPL 4'x8' | ITALIAN CHESTNUT,DCW 7404VC,ITALIAN CHESTNUT,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio,Wood,0.8mm
DDM 0920MT - EDL HPL 4'x8' | ALLOY MATT,DDM 0920MT,ALLOY MATT,TRUE,FALSE,FALSE,4400000,Active,sht,Sheet,1220 x 2440 mm,Metal,Metal,0.8mm
DDM 0950MT - EDL HPL 4'x8' | BRASS MATT,DDM 0950MT,BRASS MATT,TRUE,FALSE,FALSE,4400000,Active,sht,Sheet,1220 x 2440 mm,Metal,Metal,0.8mm
DH 1596QT - EDL HPL 4'x8' | MALTA SOTTILE,DH 1596QT,MALTA SOTTILE,TRUE,FALSE,FALSE,780000,Active,sht,Sheet,1220 x 2440 mm,Stone,Stone,0.8mm
DH 1597QT - EDL HPL 4'x8' | MALTA FONDO,DH 1597QT,MALTA FONDO,TRUE,FALSE,FALSE,780000,Active,sht,Sheet,1220 x 2440 mm,Stone,Stone,0.8mm
DHT 1597QT - EDL HPL 1300x3050 | MALTA FONDO,DHT 1597QT,MALTA FONDO,TRUE,FALSE,FALSE,920000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DMA 2866 - EDL HPL 4'x8' | ROSE GOLD MIRROR,DMA 2866,ROSE GOLD MIRROR,FALSE,FALSE,FALSE,4200000,Active,sht,Sheet,1220 x 2440 mm,Metal,Metal,1.0mm
DMB 2966 - EDL HPL 4'x8' | POLISHED GREY MIRROR,DMB 2966,POLISHED GREY MIRROR,FALSE,FALSE,FALSE,4350000,Active,sht,Sheet,1220 x 2440 mm,Metal,Metal,1.0mm
DMS 2048XM - EDL HPL 4'x8' | PEARL CALACATTA-MATT,DMS 2048XM,PEARL CALACATTA-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Stone,Stone,0.8mm
DMS 2300XM - EDL HPL 4'x8' | ANTICO ROSSO-MATT,DMS 2300XM,ANTICO ROSSO-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Marble Matt,Marble,0.8mm
